Date,Price
2020-01-01,3825.50
2020-01-02,3840.75
2020-01-03,3862.30
2020-01-04,3855.20
2020-01-05,3848.90
2020-01-06,3875.60
2020-01-07,3892.45
2020-01-08,3910.80
2020-01-09,3925.30
2020-01-10,3918.75
2020-01-11,3932.40
2020-01-12,3945.15
2020-01-13,3960.80
2020-01-14,3975.25
2020-01-15,3988.90
2020-01-16,4002.35
2020-01-17,4015.80
2020-01-18,4028.45
2020-01-19,4041.90
2020-01-20,4055.25
2022-09-15,5120.75
2022-09-16,5135.20
2022-09-17,5148.65
2022-09-18,5162.10
2022-09-19,5175.55
2022-09-20,5188.90
2022-09-21,5202.35
2022-09-22,5215.80
2022-09-23,5228.45
2022-09-24,5241.90
2022-09-25,5255.25
2022-09-26,5268.70
2022-09-27,5282.15
2022-09-28,5295.60
2022-09-29,5308.95
2022-09-30,5322.40
2022-10-01,5335.85
2022-10-02,5348.30
2022-10-03,5361.75
2022-10-04,5375.20
2023-09-25,5875.25
2023-09-26,5888.70
2023-09-27,5902.15
2023-09-28,5915.60
2023-09-29,5928.95
2023-09-30,5942.40
